word	lemma
fishbowl	fishbowl
lutein	lutein
outdoorsman	outdoorsman
sunroom	sunroom
saguaro	saguaro
pilothouse	pilothouse
tidbit	tidbit
strep	strep
thievery	thievery
pocketknife	pocketknife
stovetop	stovetop
lockstep	lockstep
ridgeline	ridgeline
linguine	linguine
iceman	iceman
chaparral	chaparral
housecleaning	housecleaning
bachelorette	bachelorette
guardrail	guardrail
speakerphone	speakerphone
ocher	ocher
boardinghouse	boardinghouse
snowpack	snowpack
flyby	flyby
cabdriver	cabdriver
sleepover	sleepover
rolodex	rolodex
coffeemaker	coffeemaker
ballclub	ballclub
snitch	snitch
focaccia	focaccia
caulk	caulk
holdup	holdup
blowup	blowup
telomerase	telomerase
sharecropper	sharecropper
wiretap	wiretap
macadamia	macadamia
largess	largess
groundhog	groundhog
soymilk	soymilk
nanosecond	nanosecond
jicama	jicama
cinderblock	cinderblock
crankset	crankset
staph	staph
gelato	gelato
sockeye	sockeye
gonzo	gonzo
faceup	faceup
remodel	remodel
gulch	gulch
anasazi	anasazi
powertrain	powertrain
piecrust	piecrust
reticle	reticle
linguini	linguini
cookout	cookout
seltzer	seltzer
fettuccine	fettuccine
escarole	escarole
knockoff	knockoff
dork	dork
windup	windup
antiterrorism	antiterrorism
watercraft	watercraft
videogame	videogame
telemark	telemark
nutria	nutria
meatball	meatball
airstrike	airstrike
snowboarder	snowboarder
mockingbird	mockingbird
aftershock	aftershock
profiler	profiler
perp	perp
graywater	graywater
segue	segue
backstop	backstop
coffeepot	coffeepot
righthander	righthander
jackhammer	jackhammer
bunt	bunt
porcini	porcini
overabundance	overabundance
crosswalk	crosswalk
screener	screener
bruschetta	bruschetta
saucepot	saucepot
bling	bling
bronzer	bronzer
bowhunting	bowhunting
honoree	honoree
sumac	sumac
sunup	sunup
wakeup	wakeup
strikeout	strikeout
baggie	baggie
mailroom	mailroom
yarmulke	yarmulke
gravesite	gravesite
backsplash	backsplash
telemarketer	telemarketer
astrophotography	astrophotography
ephedra	ephedra
layover	layover
buyback	buyback
progestin	progestin
enchilada	enchilada
stagehand	stagehand
striper	striper
dinnerware	dinnerware
hoodie	hoodie
reapportionment	reapportionment
springform	springform
varmint	varmint
polygamist	polygamist
stepmom	stepmom
codirector	codirector
undergrad	undergrad
handoff	handoff
decal	decal
flatiron	flatiron
wonk	wonk
basketry	basketry
sashimi	sashimi
lodgepole	lodgepole
recon	recon
grousing	grousing
sidearm	sidearm
trailblazer	trailblazer
landscaper	landscaper
subcompact	subcompact
tahini	tahini
gamer	gamer
energizer	energizer
flatbread	flatbread
stakeout	stakeout
kiva	kiva
getup	getup
fieldstone	fieldstone
foxhole	foxhole
centerline	centerline
hominy	hominy
rainmaker	rainmaker
compactor	compactor
speedskating	speedskating
bluegill	bluegill
intranet	intranet
moviemaking	moviemaking
tidewater	tidewater
lupine	lupine
carpool	carpool
taskbar	taskbar
laughingstock	laughingstock
backstory	backstory
gamefish	gamefish
flyfishing	flyfishing
pushup	pushup
cookstove	cookstove
bratwurst	bratwurst
teamster	teamster
frittata	frittata
wildland	wildland
minicamp	minicamp
ultralight	ultralight
tamale	tamale
steerer	steerer
docent	docent
leptin	leptin
moneymaker	moneymaker
cantina	cantina
resveratrol	resveratrol
sass	sass
tailbone	tailbone
downstate	downstate
sidecut	sidecut
stomachache	stomachache
groundskeeper	groundskeeper
gainer	gainer
lumberyard	lumberyard
podiatrist	podiatrist
lawman	lawman
overlook	overlook
snowmobiling	snowmobiling
muzzleloader	muzzleloader
teakettle	teakettle
orthodontist	orthodontist
frontcourt	frontcourt
penlight	penlight
handspring	handspring
attendee	attendee
oversupply	oversupply
megachurch	megachurch
